PDF Number,Course Name,Link
79.pdf,Teaching And Learning in Engineering (TALE),https://drive.google.com/file/d/1gqSzCM5PQd3KpZX1PN4t9FZWeY2elB0C/view?usp=drive_link
80.pdf,Basic principles and calculations in chemical engineering,https://drive.google.com/file/d/1huEuoGney0uO-6uTD7Ca7YYSBB8HI5r2/view?usp=sharing
81.pdf,Differential equations for engineers,https://drive.google.com/file/d/1hwEAcHoRlhuTQJNGNeVIy5XY5g19IJcv/view?usp=sharing
82.pdf,Microprocessors and Microcontrollers,https://drive.google.com/file/d/1iBq8LtQbcKHXMZFwajvX_igs9B2lS7EH/view?usp=sharing
83.pdf,Database Management System,https://drive.google.com/file/d/1iMjSkWRD83pSx8TVqSYRBQSUhnK5aaZb/view?usp=drive_link
84.pdf,Database Management System,https://drive.google.com/file/d/1iMjSkWRD83pSx8TVqSYRBQSUhnK5aaZb/view?usp=drive_link
85.pdf,Manufacturing systems technology part II,https://drive.google.com/file/d/1j1K-Tbp1F6C_8uybDqibzDvMDRqjd2lK/view?usp=drive_link
86.pdf,Globalization and Culture,https://drive.google.com/file/d/1jMA_-5u9F5a1v7hPk-kwV7RbOhq1lKBA/view?usp=sharing
87.pdf,MATLAB Programming for Numerical Computation,https://drive.google.com/file/d/1jep54X5tLEZggAn4B-zeWw6TQZk03kGx
88.pdf,Advanced Concrete Technology,https://drive.google.com/file/d/1jtb5QRSx7FHzOtb02zIHu0hEJu40wHXZ/view?usp=sharing
89.pdf,Engineering mathematics - I,https://drive.google.com/file/d/1kBdIQEccWC6mYdIkh2s1uJHR0u4EYSCK/view?usp=sharing
90.pdf,Transport phenomena,https://drive.google.com/file/d/1kgv04kOWXsKYhZTEntgQvC1egmjjQeqb/view?usp=drive_link
91.pdf,Soft Skill Development,https://drive.google.com/file/d/1mN2CmrZFCH-rKT5G6o6rXaDYMi2VFE-F/view?usp=share_link
92.pdf,RAC Product Design,https://drive.google.com/file/d/1mp6xBo5ZkM6UZ9d7-bml62MjIEXfoOUo/view?usp=sharing
93.pdf,Remote Sensing and GIS,https://drive.google.com/file/d/1narFjXfDwgpNmLc373-hTU34pcFrT95E/view?usp=sharing
94.pdf,Metals in Biology,https://drive.google.com/file/d/1nhMF7XT7byc9Y8PgXtxBJWVUi_hGWZgo/view?usp=sharing
