PDF Number,Course Name,Link
60.pdf,Basic electric circuits,https://drive.google.com/file/d/1NG8_gXESD6CzsHqhC96Hq-KZFsisjXTk/view?usp=sharing
61.pdf,Fundamentals of electrical engineering,https://drive.google.com/file/d/1P-RztI3J1Aphot7Kim6BXr0s9egPRuVE/view?usp=sharing
62.pdf,Multirate DSP,https://drive.google.com/file/d/1P3tETKM0Oe4YlLDPTMe0l7su6ePPlElU/view?usp=sharing
63.pdf,Design Practice,https://drive.google.com/file/d/1Q6q3hJB3TnKUsPkLFXHBgRuuMoeu8wiS/view?usp=sharing
64.pdf,Programming in C++,https://drive.google.com/file/d/1QHm3D4eC9NjYksl6E93Iq52YaDVmJ3k_/edit
65.pdf,Computational Electromagnetics,https://drive.google.com/file/d/1QZgi4lMBZ8U2-MAVjbLGBujU-_WssoPr/view?usp=sharing
66.pdf,Patent Drafting For Beginners,https://drive.google.com/file/d/1RBOavZe0EeWPpUZ4KcBxw4a_YWkFFk14/view?usp=sharing
67.pdf,Rapid Manufacturing,https://drive.google.com/file/d/1RbOFU-d5V1tcqnfTZVGCfHUCfR8GRn2a/view?usp=sharing
68.pdf,Introduction to Internet of Things,https://drive.google.com/file/d/1TJR9va-Y6wDNDTLTOM6n3nhJXCn3iRZp/view?usp=sharing
69.pdf,Management Accounting,https://drive.google.com/file/d/1UArPmbWQmLBQSxQd5DoYH1bHuaxVa-HC/view?usp=sharing
70.pdf,Real Time Operating System,https://drive.google.com/file/d/1VKr9-ku81V9M8z-wrKzBQKPbv8r2Ko7j/view?usp=sharing
71.pdf,Introduction to Psychology,https://drive.google.com/file/d/1VSBR4wRgruvsBTZU_5adsca-2xJ1rx1C/view?usp=sharing
72.pdf,Body Language: Key to professional success,https://drive.google.com/file/d/1VfW--H1mAZ54TytIzlAdHpZFrCzKjF9a/view?usp=sharing
73.pdf,Biology for engineers and other non-biologists,https://drive.google.com/file/d/1Vi45_yJh3zOz8e3mLEDkR8RrN5uLnFdb/view?usp=sharing
74.pdf,Optical communications,https://drive.google.com/file/d/1VvNtRS8OwY8EOZ7PcBpkp_ykZQk1VKRB/view?usp=sharing
75.pdf,Design for internet of things,https://drive.google.com/file/d/1WZi65OxRpV7o5E0568nHe9gMfTL6MES5/view?usp=sharing
76.pdf,"Applied Optimization for Wireless, Machine Learning, Big Data",https://drive.google.com/file/d/1Wvscc3euqHj5p8TwSmkJFb6chFrVbb3a/view?usp=sharing
77.pdf,The Joy of Computing using Python,https://drive.google.com/file/d/1XIoOpGOYx4fHKTHVNeFHUa30ATGkCRRf/view?usp=sharing
78.pdf,Cell Culture Technologies,https://drive.google.com/file/d/1XKbUFDZqyhOJFIphfo2PbvTEOSE5ZXRc/view?usp=sharing
79.pdf,Project Management,https://drive.google.com/file/d/1Xdii2XwWKZm0YZQiMrgHQ_7PFydzPC6R/view?usp=sharing
80.pdf,Software Engineering,https://drive.google.com/file/d/1YJ-X0tiG2j_daGQ5x7h7l3mncvyYMQcm/view?usp=sharing
81.pdf,Fluid Dynamics and Turbomachines,https://drive.google.com/file/d/1Yp-EpriSisPvuBv6vb93PNC3avE6Fuq-/view?usp=sharing
82.pdf,Elements of Visual Representation,https://drive.google.com/file/d/1YzAz7YQuEjbdVaTOExZdEXbXcihVerfU/view?usp=sharing
83.pdf,Emotional Intelligence,https://drive.google.com/file/d/1Z2zs1B98YQIyYriYMxlpzXW5mclhPyos/view?usp=sharing
84.pdf,Disability Studies - An Introduction,https://drive.google.com/file/d/1_ZO0cXFsw64H-Yki_u-qz9KDcYHaMgex/view?usp=sharing
85.pdf,Product Design and Development,https://drive.google.com/file/d/1_u1LwSY1x4Edm5mAEYFxKDaoQfayDZoP/view?usp=sharing
86.pdf,Data Science for Engineers,https://drive.google.com/file/d/1aKAD4J0DWzbKEnNiRTMYtTdrHCEn6VJo/view?usp=sharing
87.pdf,Biostatistics and Design of experiments,https://drive.google.com/file/d/1bEu3z9MlqWGD7H3IBFfaH9gMGJpVyujv/view?usp=sharing
88.pdf,Applied Thermodynamics for Engineers,https://drive.google.com/file/d/1bKzm5K3PbLupFV9JPUgYOFNmlh38uOD2/view?usp=sharing
89.pdf,Cost Accounting,https://drive.google.com/file/d/1bS_Vw5nWbIcgEH7yPVieUH6sXHz5Y4bI/view?usp=sharing
90.pdf,Engineering fracture mechanics,https://drive.google.com/file/d/1ctwFC_U10sdfS0j1lK2rwrQZRBkRzlmQ/view?usp=sharing
91.pdf,Computer Networks and Internet Protocol,https://drive.google.com/file/d/1dVEY_MD0uq7wQCtFzcPu-C3FGgshw5YR/view?usp=sharing
92.pdf,Chemical Process Intensification,https://drive.google.com/file/d/1dwKBDS6enI5EqTFKLsFaCLbedtSjQGq1/view?usp=sharing
93.pdf,"Op-Amp Practical Applications: Design, Simulation and Implementation",https://drive.google.com/file/d/1e3PVfkR5XkvY6WiWji4dyjEJc8aKb02K/view?usp=sharing
94.pdf,Ethics in Engineering Practice,https://drive.google.com/file/d/1eRIb8cmMk7jPDmwi1hki7O90k0DXvvBF/view?usp=sharing
95.pdf,Natural Language Processing,https://drive.google.com/file/d/1fKc1Y-P-M-vruexSV99bxVdoIcqt2UO4/view?usp=sharing
96.pdf,Patent Law For Engineers And Scientists,https://drive.google.com/file/d/1fdRrgzQcoS45eE9wLcyGk7Jmg2Y2Zypi/view?usp=sharing
97.pdf,Computer Vision,https://drive.google.com/file/d/1fegmGs9Nokt6tuYggsrh2WOnZVxpZerO/view?usp=sharing
98.pdf,How the Brain Creates Mind,https://drive.google.com/file/d/1gFWG0RBs-NdTomKzVpSYn8Cx1l_hfL58/view?usp=sharing
99.pdf,Power system analysis,https://drive.google.com/file/d/1gjqdKZDVIBZSQUFKV6c9-IogGKs-wVbp/view?usp=sharing
100.pdf,TALE 2: Course Design and Instruction of Engineering Course,https://drive.google.com/file/d/1gmJctUGCCMv5TcN64J_jTgSULrgi35RI/view?usp=sharing
101.pdf,Introduction to Rings and Fields,https://drive.google.com/file/d/1gsMMpPBeGw5BwaBRarkNiq5tlZkYithm/view?usp=sharing
102.pdf,Introductory Organic Chemistry,https://drive.google.com/file/d/1hiSQjpykcbXOlDjSgJwqrRuAulXINCIA/view?usp=sharing
103.pdf,Introductory quantum mechanics,https://drive.google.com/file/d/1hnIAICvec1FxMuHK8o0XpvNcdVzO22gy/view?usp=sharing
104.pdf,Marketing Management-I,https://drive.google.com/file/d/1hqLUcFgpkHLaB6lQ8XCbWbRTgNUYJQp6/view?usp=sharing
105.pdf,Electrical Distribution System Analysis,https://drive.google.com/file/d/1i2icMRUPBwL8mD58vJgibP09d4NonNHY/view?usp=sharing
106.pdf,Principles of Construction Management,https://drive.google.com/file/d/1iTR3xx87_jh1o_1MDsyPSCQnuAtHtUZK/view?usp=sharing
107.pdf,Microprocessors and Microcontrollers,https://drive.google.com/file/d/1iVsuXEymqs2gzkG7xqYSqNQS_K4y-5z9/view?usp=sharing
108.pdf,Advanced topics in the Science and Technology of Concrete,https://drive.google.com/file/d/1iXWFM_HVfia0h__2BdWrkp0utKdShFSG/view?usp=sharing
109.pdf,Introduction to Programming in C,https://drive.google.com/file/d/1jM1Kv2Ikq63qu5lKzSfmHVx06bEjOUYY/view?usp=sharing
110.pdf,Introduction to Electromagnetic Theory,https://drive.google.com/file/d/1jk0PyHQqHExODjwszqP29F8lFTLsW-2E/view?usp=sharing
111.pdf,Design and analysis of algorithms,https://drive.google.com/file/d/1kFAhYMALXg7JO7WKh6QcKb9sPuOfNsXS/view?usp=sharing
112.pdf,Software Project Management,https://drive.google.com/file/d/1kH6GnVqeyvUlQLQInnSW8_w4n3zlb3ix/view?usp=sharing
