PDF Number,Course Name,Link
72.pdf,Introduction to Electromagnetic Theory,https://drive.google.com/file/d/1dwfJSRQCx8XndwojCyEJ5xb_8uheJqrf/view?usp=sharing
73.pdf,Semiconductor Devices and Circuits,https://drive.google.com/file/d/1eUpqhDbis4z1jxtdiGtQKdROY_WrC-Rn/view?usp=drive_link
74.pdf,Human Molecular Genetics,https://drive.google.com/file/d/1eUu0JiimWOCdGSxcjEaty1nRE1s403uS/edit
75.pdf,"Programming, Data Structures and Algorithms",https://drive.google.com/file/d/1g4NiaK7gbcGkbaDLDMC-0zAFkcfEANaK/view?usp=drive_link
76.pdf,Engineering Metrology,https://drive.google.com/file/d/1i2F9sNQaHJBUzFr3UZ1pJQ2BjdKiKc7j/view?usp=sharing
77.pdf,Manufacturing systems technology part II,https://drive.google.com/file/d/1iVq5txKdR01mdXyTkgykaF35xojydN48/view?usp=sharing
78.pdf,Software Project Management,https://drive.google.com/file/d/1ieQHZz2N6rdftfJezwCpZ-RxyOgaLILk/view?usp=sharing
79.pdf,Basic Electronics,https://drive.google.com/file/d/1imJAoN4rcOiplurFO17hI9sW7RYQbgg7/edit
80.pdf,Engineering drawing and computer graphics,https://drive.google.com/file/d/1j9xEpM-HtHQnw_mlxE0C0YSkl2-PmmTU/view?usp=sharing
81.pdf,Introduction to Research,https://drive.google.com/file/d/1kq7LCGYLIM-sINGSzdgWexGvl8YBw2iu/edit
82.pdf,Introduction to Industry 4.0 and Industrial Internet of Things,https://drive.google.com/file/d/1lt2MIiCfYP9s3_xKSakzpFe7cICuwbtS/view?usp=drive_link
83.pdf,Data Science for Engineers,https://drive.google.com/file/d/1odOa4OddfFc5DBSKtTZry47pcT8dbTk3/view?usp=sharing
84.pdf,Globalization and Culture,https://drive.google.com/file/d/1p1VO_firO4D7Z_3i-URPAAKPw_i77Rpd/view?usp=sharing
