PDF Number,Course Name,Link
69.pdf,Microwave Integrated Circuits,https://drive.google.com/file/d/1ovtp4Opi7tGj3kwSVQtu_tlTgJ0-4i7H/view?usp=sharing
70.pdf,"Programming, Data Structures and Algorithms",https://drive.google.com/file/d/1pLtZto78uonweiRnFIPLfivNJos9XvZN/view?usp=drive_link
71.pdf,Introduction to Programming in C,https://drive.google.com/file/d/1pMw7vazwOESw39XuxwCT6UfzX9ppdtRf/view?usp=sharing
72.pdf,Product Design and Development,https://drive.google.com/file/d/1pkxqnKUtEBPtfS3L1Mfh6WdMaPKjwf51/view?usp=drive_link
73.pdf,Design Practice,https://drive.google.com/file/d/1qtO0jmbW5OvJG_N8YQgEr4SXCXCQpx8j/view?usp=drive_link
74.pdf,Cell Culture Technologies,https://drive.google.com/file/d/1rWO1U-szBIYBy7_1eLkUKB901PZydSLF/view?usp=sharing
75.pdf,Principles of Signals and Systems,https://drive.google.com/file/d/1rk7BZAL_Ns3AshozMJ6LqsaRevkY5J5a/view?usp=drive_link
76.pdf,Data Science for Engineers,https://drive.google.com/file/d/1sVENuJN7tLgohmpKnm99CVJISGCIqur1/view?usp=sharing
77.pdf,Globalization and Culture,https://drive.google.com/file/d/1shx9ANTTorxTsu_7bEZpMlYpX-BrzrRx/view?usp=sharing
78.pdf,Stereochemistry,https://drive.google.com/file/d/1t0ZarhERzlXCoAUnWvumvZpw_L7G38Za/view?usp=sharing
79.pdf,Designing learner-centric e-learning in STEM disciplines,https://drive.google.com/file/d/1tEAvKXQa-dOzPAlsKSrNoD7dDXYhb0MZ/view?usp=sharing
80.pdf,Photogeology in Terrain Evaluation (Part 1),https://drive.google.com/file/d/1tI1GuZATrQTKYTVYt5iw-6GrhutSAwU3/view?usp=sharing
81.pdf,Body Language: Key to Professional Success,https://drive.google.com/file/d/1uH1rCWVf3OlrPLSZVLVFIPE5c0OBWgjp/view?usp=sharing
82.pdf,Cloud Computing,https://drive.google.com/file/d/1v07NlJlB9c1Pg9h0wHnTk70szk7TDeEG/view?usp=sharing
83.pdf,Introductory Quantum Mechanics,https://drive.google.com/file/d/1v5yrpEvYqn3iY1HG8EvsaKdUeGqH73jE/view?usp=sharing
84.pdf,Manufacturing systems technology part II,https://drive.google.com/file/d/1vOHjX29ezLmrxn2UXd3IoKs4_F9QLl49/view?usp=drive_link
85.pdf,Applied Thermodynamics for Engineers,https://drive.google.com/file/d/1xJWDBrHmUCzSnNUMi2zAb7qp4ymdI0OO/view?usp=drive_link
86.pdf,Sociology of Science,https://drive.google.com/file/d/1xy2w7S6KBVQ6Bq84riEywSRINy3UOlVc/view?usp=sharing
87.pdf,Project Management,https://drive.google.com/file/d/1xz7FBZO5bkacqjc7VvuOf-VguXSaMbFY/view?usp=sharing
88.pdf,Microprocessors and Microcontrollers,https://drive.google.com/file/d/1zrBorkUXZA514ifs16GF9iRuaDEHIdKo/view?usp=sharing
