PDF Number,Course Name,Link
77.pdf,Soft skills,https://drive.google.com/file/d/18aSzAB2PfWfBT3_HOD1vObpe0KQF1vFf/view
78.pdf,Basic Tools of Microwave Engineering,https://drive.google.com/file/d/18dD-iXS6cWGAE7HvJHMxNNwW2bwcKUFz/view
79.pdf,Introduction to robotics,https://drive.google.com/file/d/18qXkbyTqvASyYaF5zpCu83IIQq9RB-ji/view
80.pdf,Environmental Soil Chemistry,https://drive.google.com/file/d/18t0GU6T6oGx4w33v78R-2qvmK-VtCMr5/view
81.pdf,Introduction to Smart Grid,https://drive.google.com/file/d/18vJz86xDDIfPg_AO_1BeRWhqrtWmWawY/view
82.pdf,Inspection and Quality Control in Manufacturing,https://drive.google.com/file/d/18zwJHitaRNr8D6gOvflubQqE7wDFrNMB/view
83.pdf,Introduction to Brain & Behaviour,https://drive.google.com/file/d/196T84lO3aSA1fGEu8BymYZTQW_UEh9iF/view?usp=drivesdk
84.pdf,Fundamentals of Conduction and Radiation,https://drive.google.com/file/d/19DoOIgnf6MGld-yMpq3SRKLNGzPXM198/view
85.pdf,Differential equations for engineers,https://drive.google.com/file/d/19HD54hugmWlsrjFCXqLwetO-yLvMKUAJ/view?usp=drivesdk
86.pdf,Probability and Stochastics for finance,https://drive.google.com/file/d/19K0aqJOf5GaR7Tr09vq6kKkcBR2m3Ylu/view
87.pdf,Application of Spectroscopic Methods in Molecular Structure Determination,https://drive.google.com/file/d/19Kh-ueE5FnBBJs4qpMTbVx_KgpQeCgAq/view
88.pdf,Advanced Foundation Engineering,https://drive.google.com/file/d/19WjDdWd8IEdC09HtYPa-GzIkJMzzmQXJ/view?usp=drivesdk
89.pdf,Better Spoken English,https://drive.google.com/file/d/19_sQs39t3bE2HoeW5cwdf6c9-s1CkhZH/view
90.pdf,Introduction to History of Architecture in India,https://drive.google.com/file/d/19mg5OIMUSIp5Hx969jrMm6exlBgPI9iO/view
91.pdf,Modelling and Analytics for Supply Chain Management,https://drive.google.com/file/d/1A99kUs3KL5ulOMsbZUS4CpSqGCXkWVqN/view?usp=drivesdk
92.pdf,Applied Ergonomics,https://drive.google.com/file/d/1AA_Chz_OjY_JG1TtJFkNJBmNsoRECQc4/view
93.pdf,Operating System Fundamentals,https://drive.google.com/file/d/1ABjxhiXbLG2878e9rQuWzIosv0OmMQ8f/view
94.pdf,Introduction to System Dynamics Modeling,https://drive.google.com/file/d/1AMymLW0xrdy9hI2zqpm242bOrgCOzWWR/view?usp=drivesdk
95.pdf,Bioreactors,https://drive.google.com/file/d/1ANnIcIeFnODsUkIVx_7OFitNEfXXyzZ-/view
96.pdf,Rock Engineering,https://drive.google.com/file/d/1AZ_wQ8ei-ACkCtIdHCY4ho5X1i1_OHRe/view?usp=drivesdk
97.pdf,Object-Oriented Analysis and Design,https://drive.google.com/file/d/1AuG4iM6Aica4vyioH16j246px4WG-yB0/view
98.pdf,Environmental Engineering- Chemical Processes,https://drive.google.com/file/d/1AuaEk3lpBr6ZICUmU462Vec7w4uhbkwY/view
99.pdf,Transition Metal Organometallics in Catalysis and Biology,https://drive.google.com/file/d/1B4irJ6EnRp1-7oiufLcLTQtWWpGcIzYg/view?usp=drivesdk
100.pdf,German-I,https://drive.google.com/file/d/1BRLAVDgg-1mTdR166u1zm_qjETTQC1_S/view
101.pdf,Functional Programming in Haskell,https://drive.google.com/file/d/1Bpc3CDl1xi3DObksqjJcPYnrBQROwFav/view
102.pdf,Psychology of Everyday,https://drive.google.com/file/d/1C2ts9XGuob-Kp7Ip3KECT64Qmw4XNrwp/view
103.pdf,"Practitioners Course In Descriptive, Predictive And Prescriptive Analytics",https://drive.google.com/file/d/1C9jCj0XEiRckouaWVEHrG6TUIT1jWUJm/view
104.pdf,Chemistry I: Introduction to Quantum Chemistry and Molecular Spectroscopy,https://drive.google.com/file/d/1CCtbHt7GFlb7WK8PTZ78WuPL9ulNhFbB/view?usp=drivesdk
105.pdf,Manufacturing Systems Technology Part I,https://drive.google.com/file/d/1CJKPwHNIlZe9Du3kJfcuC-v2-a8-sgvv/view
106.pdf,Multivariable Calculus,https://drive.google.com/file/d/1CJMmbVhExZHGkibkmMIx65LXDxyoqVcF/view
107.pdf,Introduction to the Psychology of Language,https://drive.google.com/file/d/1CKOqmOWTtKyAgSB09QocjGTqbtmQfXln/view
108.pdf,Marketing research and analysis,https://drive.google.com/file/d/1CWJTsv2SQvvbf4lgzpiGKAOueKAZdH4b/view
109.pdf,Nonlinear System Analysis,https://drive.google.com/file/d/1CYHUzx49Qs1yxNbE6IWiUO1taFmk5IrR/view?usp=drivesdk
110.pdf,Acoustic and Noise Control,https://drive.google.com/file/d/1ClemQC-B23c8VCTdjzE8Y_ycQkHKM92G/view
111.pdf,Acoustic Materials and Metamaterials,https://drive.google.com/file/d/1Cv3tDvKYRNABw0f2e_T_l5znN6Q5H2DV/view?usp=drivesdk
112.pdf,Algorithms for Big Data,https://drive.google.com/file/d/1Cx00j6kOxoCmrsw4ehX6VGsmMMDl-sMg/view
113.pdf,Electrical machines - I,https://drive.google.com/file/d/1D-jWb8ikaJolRGfMJ9AjDtmdDWyx8Y39/view
114.pdf,Fundamentals of electronic materials and devices,https://drive.google.com/file/d/1DDunT6xdKZqb74lWWEoPIUdzmYbM33W2/view
115.pdf,Introduction to methods of Applied Mathematics,https://drive.google.com/file/d/1DK6zZ8sGcj6jJCeyKBoQu1bKBkkvlkMv/view
116.pdf,Power System Engineering,https://drive.google.com/file/d/1DP2EMr4Dg2qXUaSOZ5L-GoaLNoZgXeF0/view
117.pdf,Computational Electromagnetics & Applications,https://drive.google.com/file/d/1DUUAhMRcl6lekZFP6vUEPPB9dZzNiLe-/view
118.pdf,Transition Metal Organometallic Chemistry: Principles to Applications,https://drive.google.com/file/d/1DYZ7JP-lEdFFnpSUFIsjTYmVjsjT8xi9/view
119.pdf,Spread Spectrum Communications and Jamming,https://drive.google.com/file/d/1DZiFeGTIp7K4QYgkEU5dC9EvCKALnOrq/view
120.pdf,Digital Circuits,https://drive.google.com/file/d/1D_hi8LOVdK98yoDNH44QakLAHkBD2nnu/view
121.pdf,Cloud Computing and Distributed Systems,https://drive.google.com/file/d/1DjJ7-I0kvb9Gb-wnENR-raHpxu0XYNCp/view
