PDF Number,Course Name,Link
88.pdf,Modern Algebra,https://drive.google.com/file/d/1SBdBViGS92d0VGxNRFgs8XXMA_IaQxSe/view?usp=sharing
89.pdf,Engineering Mathematics II,https://drive.google.com/file/d/1SK1rsD01yrwfyOQkN_5d8_pJ2uVulRBD/view?usp=sharing
90.pdf,Computer Vision,https://drive.google.com/file/d/1StbO3ph2XF_fhTNYh2-D1ZIAfdztosU0/view?usp=sharing
91.pdf,Microprocessors and Microcontrollers,https://drive.google.com/file/d/1SyTcszt_jcuQ_j19vgyS9d8lnHmX8dSX/view?usp=sharing
92.pdf,Engineering Mechanics:Statics and Dynamics,https://drive.google.com/file/d/1TCf8aeoRIa6Zg_UawAhk_MLCnyI3Xg2t/view?usp=sharing
93.pdf,Introduction to Abrasive Machining and Finishing Processes,https://drive.google.com/file/d/1TnjuR9vrvKj0WY5m93XvhGW2BTJvBY5T/view?usp=sharing
94.pdf,Fundamentals of electronic materials and devices,https://drive.google.com/file/d/1U5YTJM0d8dsZS8nmbCOvt7BQ1kpeLXFi/view?usp=sharing
95.pdf,Engineering Metrology,https://drive.google.com/file/d/1VCUbLUkq8p7bDSE-0hzOqBVvHXbWB9fE/view?usp=sharing
96.pdf,Manufacturing Systems Technology,https://drive.google.com/file/d/1VSxYSmrP2-3v8nLfzqNR1izNdsPH4wLE/view?usp=sharing
97.pdf,Body Language: Key to professional Success,https://drive.google.com/file/d/1VYV1n4pJ4tmZ6qavi24Zqx4tlcKYtemG/view?usp=sharing
98.pdf,Stress Management,https://drive.google.com/file/d/1VcxT8-Y5h7iWwdGXGsqbyDyxwWJpKvXG/view?usp=sharing
99.pdf,Waves and Oscillations,https://drive.google.com/file/d/1Vj5xx7xEbjN_WEW_PLni5gPqe6rXPwJB/view?usp=sharing
100.pdf,Applied Linguistics,https://drive.google.com/file/d/1W00HOYRsEzD8u7Ei-BJI-YUqUwJIoCn4/view?usp=sharing
101.pdf,Introduction to Geographic Information Systems,https://drive.google.com/file/d/1W0JFIsipyArRqrDi2kbrqd-51TxLYfJ3/view?usp=sharing
102.pdf,Dairy and Food Process and Products Technology,https://drive.google.com/file/d/1WafUP84HTA1nHBTfYG-UFnKHreoo_8y_/edit
103.pdf,Enhancing Soft Skills and Personality,https://drive.google.com/file/d/1WoDJqN1nvsDEgLC2cr5OwwO6H90sI6aJ/view?usp=drive_link
104.pdf,Enhancing Soft skills and Personality,https://drive.google.com/file/d/1WoDJqN1nvsDEgLC2cr5OwwO6H90sI6aJ/view?usp=sharing
105.pdf,Apllied Ergonomics,https://drive.google.com/file/d/1X5J4OV9AXTC2LXq3Lvl_wYHzuQv6NAx0/view?usp=sharing
106.pdf,Microwave Integrated Circuits,https://drive.google.com/file/d/1XXX4YzFPsDNVvNn78fPlsXXKFm-KKD5u/view?usp=sharing
107.pdf,Basic principles and calculations in chemical engineering,https://drive.google.com/file/d/1Z4P-yNvrE0mJN67cZmJY7So7wml6lPVm/view?usp=drive_link
108.pdf,Ecology and Society,https://drive.google.com/file/d/1ZQbfvjdAdBbpZMxnqcb06sosxeVMH8T2/view?usp=sharing
109.pdf,Computer Networks and Internet protocol,https://drive.google.com/file/d/1ZSfM06QZu7TlbfRDFPIZ0aoTm9iHfCvJ/view?usp=sharing
110.pdf,How the Brain creates Mind,https://drive.google.com/file/d/1ZkaJMo-xg8LQHohh0NDlEHk7f77p95p3/view?usp=sharing
111.pdf,Business Analytics and Data Mining Modeling using R,https://drive.google.com/file/d/1_WhI3dP4g2NsDbkI6rxNAZ61atD6JTH4/view?usp=sharing
112.pdf,Chemistry - I,https://drive.google.com/file/d/1a26ZQpP7TutBQndihMEMEZ5qmFpLzH3l/view
113.pdf,Cost Accounting,https://drive.google.com/file/d/1aIgcDmDRDAA6uJ13YOuZ3U29fcu7GzEs/view?usp=sharing
114.pdf,Experimental Physics - II,https://drive.google.com/file/d/1b9AQzIPGRmFxYFEaubHiJDNc1XoLiTC-/view?usp=sharing
115.pdf,Design and Analysis of Algorithms,https://drive.google.com/file/d/1bR0opGVMyjpi22iX5F-g92u2A6h96H-A/view?usp=sharing
116.pdf,Brief Introduction to Psychology,https://drive.google.com/file/d/1bShpOPPobPZqKuS_cfy16XCvC6cSvlWt/view?usp=sharing
117.pdf,Design and Simulation of DC-DC converters using open source tools,https://drive.google.com/file/d/1bjEIeiBlvH1UgdVCng8WDRh1U6vj_bbZ/view?usp=sharing
