PDF Number,Course Name,Link
80.pdf,Employment Communication - A Lab based course,https://drive.google.com/file/d/1q_29zjP1RD8oSSdUEBbbEsuaEVXgfV_t/view?usp=drive_link
81.pdf,Design Practice,https://drive.google.com/file/d/1rZHQyndAkkWc48dM1Wb1a21ewNA0DGzY/view?usp=sharing
82.pdf,Basic Electrical Circuits,https://drive.google.com/file/d/1s2fgp-2-Qg8b7GkykOMHmWAFybRppDzz/view?usp=sharing
83.pdf,Design for Internet of Things,https://drive.google.com/file/d/1sN6MOYk4aTIkcWrlI0lO33GbAKFTJzEp/view?usp=sharing
84.pdf,VLSI Physical Design,https://drive.google.com/file/d/1tw6up-OpjgVe1mnWiv_jrZ6XtS461J5n/view?usp=sharing
85.pdf,Engineering Mechanics,https://drive.google.com/file/d/1u3tZIuk3nKRw1xPpLUjWMA80HEgza6XK/view?usp=sharing
86.pdf,Power System Engineering,https://drive.google.com/file/d/1v24gdWYBCdl0PulUVY2xcD-q9Nxm3xpj/view?usp=drive_link
87.pdf,Introduction to Research,https://drive.google.com/file/d/1vVuTPa1_GuEXoMSm8NUdCHqLcPHslWz6/view?usp=sharing
88.pdf,Stress Management,https://drive.google.com/file/d/1vfsAVdQT8gyWAC1WBp1IEB-0AHYp2oOO/view?usp=sharing
89.pdf,Stereochemistry,https://drive.google.com/file/d/1vmNvqHDDsnMMKFQCUN1v6AGKFMDMhVgE/view?usp=sharing
90.pdf,Energy conservation and waste heat recovery,https://drive.google.com/file/d/1wYBkLpVoroHdKngAzJa3SpQEUWHgZqCw/view?usp=sharing
91.pdf,Power system analysis,https://drive.google.com/file/d/1wb7P950A5ZalzGeuC_ropK0_mK6Z3Zly/view?usp=sharing
92.pdf,MATLAB Programming for Numerical Computation,https://drive.google.com/file/d/1weMvOQBYoIWzqSa3lCE_bY8TpBfsA8YA/view?usp=sharing
93.pdf,Introduction to Rings and Fields,https://drive.google.com/file/d/1x9TuBsj5WUy0Gr4hJhUG6nJQuR9klkSF/view?usp=sharing
94.pdf,Product Design and Development,https://drive.google.com/file/d/1xNh_cNwtrE_MlPHBXvVc0NvxNslBUlP6/view?usp=drive_link
95.pdf,Introduction to wireless and Cellular communications,https://drive.google.com/file/d/1xOOhiJy6le43JlwoK54HmXyoIjnOG36L/view?usp=sharing
96.pdf,Appreciating Linguistics: A Typological Approach,https://drive.google.com/file/d/1xe8ExM9ARtRb6p3mSqPYUMurP3ZXSuf3/view?usp=sharing
97.pdf,Managing Services,https://drive.google.com/file/d/1xsmU1r9KUCRr10ZbmbZq5CybqmSjjknX/view?usp=sharing
98.pdf,Introduction to Operations Research,https://drive.google.com/file/d/1yDbsxZ-54_9SBcKql29x1kn1eJ2VDpbX/view?usp=sharing
99.pdf,Project Management,https://drive.google.com/file/d/1yFaldP1dTsQRbH7paqjXIHJu_iaRGz5s/view?usp=sharing
100.pdf,Engineering mathematics - I,https://drive.google.com/file/d/1yzBSYsPFMLWVnXBe74SnJ2FF_JQIhnUa/view?usp=sharing
101.pdf,Strength of materials,https://drive.google.com/file/d/1zEQ5H751UihawlCkUmFlMUDKKEOZD56m/view?usp=drive_link
102.pdf,Engineering mathematics -II,https://drive.google.com/file/d/1zYo92nszZZvEslV8cMRcMqa9CRZ3fZuQ/view?usp=sharing
103.pdf,Industrial Automation and Control,https://drive.google.com/file/d/1zttRzdjCb1BFeKaEnA7NQlGTO4Of_FOa/view?usp=sharing
